"Item Type","Brand/Manufacture","Vendor","SKU","UPC","Case Barcode","Unit Description","Fullname","Pick Name","Unit Weight(lbs)","Length(in)","Width(in)","Height(in)","Item Description","Additional Description"
"Frozen","CHOMP by Nightingale","Nightingale Ice Cream","ETFZ-1000-5966","108600068704","","Each","CHOMP by Nightingale Chocolate Blackout Sandwich, 12.15 oz. Box (1-7 Case)","CHOMP by Nightingale Chocolate Blackout Sandwich, 12.15 oz. Box (1-7 Case)","5.76","14","5.625","5.625","CHOMP by Nightingale Chocolate Blackout ","Sandwich, 12.15 oz. Box (1-7 Case)"
"Frozen","Oatly!","Oatly","ETFZ-1000-5987","190646000158","","Each","Oatly! Strawberry Cups, 3.5 oz. Cup (1-24 Case)","Oatly! Strawberry Cups, 3.5 oz. Cup (1-24 Case)","2.62","12","6","6","Oatly! Strawberry Cups, 3.5 oz. Cup (1-2","4 Case)"
"Frozen","Oatly!","Oatly","ETFZ-1000-5988","190646000165","","Each","Oatly! Salted caramel Cups, 3.5 oz. Cup (1-24 Case)","Oatly! Salted caramel Cups, 3.5 oz. Cup (1-24 Case)","2.65","12","6","6","Oatly! Salted caramel Cups, 3.5 oz. Cup ","(1-24 Case)"
"Frozen","Oatly!","Oatly","ETFZ-1000-5983","101906466308","","Each","Oatly! Vanilla Frozen Dessert, 9 oz. Bar (8-3 Case)","Oatly! Vanilla Frozen Dessert, 9 oz. Bar (8-3 Case)","3.3","7.25","13","7.5","Oatly! Vanilla Frozen Dessert, 9 oz. Bar"," (8-3 Case)"
"Refrigerated","Oatly!","Oatly","ETRF-1000-5989","190646000059","","Each","Oatly! Barista Edition Oat Milk, 32 oz. Carton (1-12 Case)","Oatly! Barista Edition Oat Milk, 32 oz. Carton (1-12 Case)","28","11.95","9.37","8.99","Oatly! Barista Edition Oat Milk, 32 oz. ","Carton (1-12 Case)"
"Frozen","Oatly!","Oatly","ETFZ-1000-5990","190646630895","","Each","Oatly! Chocolate Fudge Frozen Dessert, 9 oz. Bar (8-3 Case)","Oatly! Chocolate Fudge Frozen Dessert, 9 oz. Bar (8-3 Case)","3.3","7.25","13","7.5","Oatly! Chocolate Fudge Frozen Dessert, 9"," oz. Bar (8-3 Case)"
"Frozen","Oatly!","Oatly","ETFZ-1000-5991","101906466309","","Each","Oatly! Salted Caramel Frozen Dessert, 9 oz. Bar (8-3 Case)","Oatly! Salted Caramel Frozen Dessert, 9 oz. Bar (8-3 Case)","3.3","7.25","13","7.5","Oatly! Salted Caramel Frozen Dessert, 9 ","oz. Bar (8-3 Case)"
"Frozen","Oatly!","Oatly","ETFZ-1000-5992","101906466309","","Each","Oatly! Strawberry Swirl Frozen Dessert, 9 oz. Bar (8-3 Case)","Oatly! Strawberry Swirl Frozen Dessert, 9 oz. Bar (8-3 Case)","3.3","7.25","13","7.5","Oatly! Strawberry Swirl Frozen Dessert, ","9 oz. Bar (8-3 Case)"
"Frozen","CHOMP by Nightingale","Nightingale Ice Cream","ETFZ-1000-5967","108600068704","","Each","CHOMP by Nightingale Salted Caramel Sandwich, 11.75 oz. Box (1-7 Case)","CHOMP by Nightingale Salted Caramel Sandwich, 11.75 oz. Box (1-7 Case)","5.58","14","5.625","5.625","CHOMP by Nightingale Salted Caramel Sand","wich, 11.75 oz. Box (1-7 Case)"
"Frozen","CHOMP by Nightingale","Nightingale Ice Cream","ETFZ-1000-5994","850037507115","","Each","CHOMP by Nightingale Chocolate Blackout Sandwich, 12.15 oz. Individually Wrapped (1-1 Each)","CHOMP by Nightingale Chocolate Blackout Sandwich, 12.15 oz. Individually Wrapped (1-1 Each)","0.759","5.25","1.88","5.25","CHOMP by Nightingale Chocolate Blackout ","Sandwich, 12.15 oz. Individually Wrapped (1-1 Each)"
"Frozen","Oatly!","Oatly","ETFZ-1000-6000","190646630911","","Each","Oatly! Strawberry Swirl Frozen Dessert, 9 oz. Bar (1-3 Each)","Oatly! Strawberry Swirl Frozen Dessert, 9 oz. Bar (1-3 Each)","0.4","6.81","1.44","6.44","Oatly! Strawberry Swirl Frozen Dessert, ","9 oz. Bar (1-3 Each)"
"Frozen","Oatly!","Oatly","ETFZ-1000-5998","190646630898","","Each","Oatly! Chocolate Fudge Frozen Dessert, 9 oz. Bar (1-3 Each)","Oatly! Chocolate Fudge Frozen Dessert, 9 oz. Bar (1-3 Each)","0.4","6.81","1.44","6.44","Oatly! Chocolate Fudge Frozen Dessert, 9"," oz. Bar (1-3 Each)"
"Refrigerated","Oatly!","Oatly","ETRF-1000-6001","190646650070","","Each","Oatly! Barista Edition Oat Milk, 32 oz. Carton (1-1 Each)","Oatly! Barista Edition Oat Milk, 32 oz. Carton (1-1 Each)","2.24","2.97","2.97","8.5","Oatly! Barista Edition Oat Milk, 32 oz. ","Carton (1-1 Each)"
"Frozen","Oatly!","Oatly","ETFZ-1000-5999","190646630904","","Each","Oatly! Salted Caramel Frozen Dessert, 9 oz. Bar (1-3 Each)","Oatly! Salted Caramel Frozen Dessert, 9 oz. Bar (1-3 Each)","0.4","6.81","1.44","6.44","Oatly! Salted Caramel Frozen Dessert, 9 ","oz. Bar (1-3 Each)"
"Frozen","CHOMP by Nightingale","Nightingale Ice Cream","ETFZ-1000-5969","108600068704","","Each","CHOMP by Nightingale Mint Chocolate Chip Sandwich, 11.75 oz. Box (1-7 Case)","CHOMP by Nightingale Mint Chocolate Chip Sandwich, 11.75 oz. Box (1-7 Case)","5.58","14","5.625","5.625","CHOMP by Nightingale Mint Chocolate Chip"," Sandwich, 11.75 oz. Box (1-7 Case)"
