"Item Type","Brand/Manufacture","Vendor","SKU","UPC","Case Barcode","Unit Description","Fullname","Pick Name","Unit Weight(lbs)","Length(in)","Width(in)","Height(in)","Item Description","Additional Description"
"Frozen","Arctic Zero","Arctic Zero","ETFZ-1000-0003","999123456789","","Each","Arctic Zero Chocolate Peanut Butter Non-Dairy Dessert, 16 fl. oz. Pint (1-8 Case)","Arctic Zero Chocolate Peanut Butter Non-Dairy Dessert, 16 fl. oz. Pint (1-8 Case)","8.5","999","999","999","Arctic Zero Chocolate Peanut Butter Non-","Dairy Dessert, 16 fl. oz. Pint (1-8 Case)"
"Frozen","Arctic Zero","Arctic Zero","ETFZ-1000-0004","076840000661","","Each","Arctic Zero Classic Vanilla Non-Dairy Dessert, 16 fl. oz. Pint (1-8 Case)","Arctic Zero Classic Vanilla Non-Dairy Dessert, 16 fl. oz. Pint (1-8 Case)","1","999","999","999","Arctic Zero Classic Vanilla Non-Dairy De","ssert, 16 fl. oz. Pint (1-8 Case)"
"Frozen","Arctic Zero","Arctic Zero","ETFZ-1000-0005","999123456789","","Each","Arctic Zero Cookie Shake Non-Dairy Dessert, 16 fl. oz. Pint (1-8 Case)","Arctic Zero Cookie Shake Non-Dairy Dessert, 16 fl. oz. Pint (1-8 Case)","1","999","999","999","Arctic Zero Cookie Shake Non-Dairy Desse","rt, 16 fl. oz. Pint (1-8 Case)"
"Frozen","Arctic Zero","Arctic Zero","ETFZ-1000-0006","999123456789","","Each","Arctic Zero Hint of Mint Non-Dairy Dessert, 16 fl. oz. Pint (1-8 Case)","Arctic Zero Hint of Mint Non-Dairy Dessert, 16 fl. oz. Pint (1-8 Case)","1","999","999","999","Arctic Zero Hint of Mint Non-Dairy Desse","rt, 16 fl. oz. Pint (1-8 Case)"
"Frozen","Arctic Zero","Arctic Zero","ETFZ-1000-0007","999123456789","","Each","Arctic Zero Pistachio Non-Dairy Dessert, 16 fl. oz. Pint (1-8 Case)","Arctic Zero Pistachio Non-Dairy Dessert, 16 fl. oz. Pint (1-8 Case)","1","999","999","999","Arctic Zero Pistachio Non-Dairy Dessert,"," 16 fl. oz. Pint (1-8 Case)"
"Frozen","Arctic Zero","Arctic Zero","ETFZ-1000-0008","999123456789","","Each","Arctic Zero Purely Chocolate Non-Dairy Dessert, 16 fl. oz. Pint (1-8 Case)","Arctic Zero Purely Chocolate Non-Dairy Dessert, 16 fl. oz. Pint (1-8 Case)","1","999","999","999","Arctic Zero Purely Chocolate Non-Dairy D","essert, 16 fl. oz. Pint (1-8 Case)"
"Frozen","Arctic Zero","Arctic Zero","ETFZ-1000-0009","999123456789","","Each","Arctic Zero Salted Caramel Non-Dairy Dessert, 16 fl. oz. Pint (1-8 Case)","Arctic Zero Salted Caramel Non-Dairy Dessert, 16 fl. oz. Pint (1-8 Case)","1","999","999","999","Arctic Zero Salted Caramel Non-Dairy Des","sert, 16 fl. oz. Pint (1-8 Case)"
"Frozen","Babcock Hall","Babcock Hall","ETFZ-1000-0010","999123456789","","Each","Babcock Hall Badger Blast Ice Cream, 16 fl. oz. Pint (1-12 Case)","Babcock Hall Badger Blast Ice Cream, 16 fl. oz. Pint (1-12 Case)","999","4","4","4","Babcock Hall Badger Blast Ice Cream, 16 ","fl. oz. Pint (1-12 Case)"
"Frozen","Babcock Hall","Babcock Hall","ETFZ-1000-0011","999123456789","","Each","Babcock Hall Blue Moon Ice Cream, 8 fl. oz. Half Pint (1-24 Case)","Babcock Hall Blue Moon Ice Cream, 8 fl. oz. Half Pint (1-24 Case)","12","999","999","999","Babcock Hall Blue Moon Ice Cream, 8 fl. ","oz. Half Pint (1-24 Case)"
"Frozen","Babcock Hall","Babcock Hall","ETFZ-1000-0012","999123456789","","Each","Babcock Hall Blueberry Swirl Ice Cream, 16 fl. oz. Pint (1-12 Case)","Babcock Hall Blueberry Swirl Ice Cream, 16 fl. oz. Pint (1-12 Case)","1","4","4","4","Babcock Hall Blueberry Swirl Ice Cream, ","16 fl. oz. Pint (1-12 Case)"
"Frozen","Babcock Hall","Babcock Hall","ETFZ-1000-0013","999123456789","","Each","Babcock Hall Cookies and Cream Ice Cream, 16 fl. oz. Pint (1-12 Case)","Babcock Hall Cookies and Cream Ice Cream, 16 fl. oz. Pint (1-12 Case)","12","999","999","999","Babcock Hall Cookies and Cream Ice Cream",", 16 fl. oz. Pint (1-12 Case)"
"Frozen","Babcock Hall","Babcock Hall","ETFZ-1000-0014","999123456789","","Each","Babcock Hall Mint Chocolate Cookie Ice Cream, 16 fl. oz. Pint (1-12 Case)","Babcock Hall Mint Chocolate Cookie Ice Cream, 16 fl. oz. Pint (1-12 Case)","999","999","999","999","Babcock Hall Mint Chocolate Cookie Ice C","ream, 16 fl. oz. Pint (1-12 Case)"
